Food Establishment Name,Food Establishment Street Address,Food Establishment City,Food Establishment Zip Code,Inspection Date,Inspection Type,Violation 1,Violation 1 Description,Violation 2,Violation 2 Description,Violation 3,Violation 3 Description,Violation 4,Violation 4 Description,Violation 5,Violation 5 Description,Violation 6,Violation 6 Description,Violation 7,Violation 7 Description,Violation 8,Violation 8 Description,Violation 9,Violation 9 Description,Violation 10,Violation 10 Description,Violation 11,Violation 11 Description,Violation 12,Violation 12 Desription,Violation 13,Violation 13 Description,Geocoded Location
SHORE STOP #269,RT 13 & GLENWOOD AVE,SMYRNA,19977,03/28/2016,Followup,,,,,,,,,,,,,,,,,,,,,,,,,,,"RT 13 &amp; GLENWOOD AVE
SMYRNA, DE 19977
"
JPS ON THE WHARF,201 HUBBARD ST,FREDERICA,19946,03/30/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"201 HUBBARD ST
FREDERICA, DE 19946
"
DOVER LITTLE LEAGUE,ELECTRIC AVENUE,DOVER,19904,04/01/2016,Routine,4-703_11 Methods-Hot Water and Chemical P,Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,,,"ELECTRIC AVENUE
DOVER, DE 19904
"
EL AZTECA,511 NORTH RED HAVEN LANE,DOVER,19901,04/04/2016,Followup,,,,,,,,,,,,,,,,,,,,,,,,,,,"511 NORTH RED HAVEN LANE
DOVER, DE 19901
"
HARRINGTON LITTLE LEAGUE,P O BOX 54,HARRINGTON,19952,04/05/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"P O BOX 54
HARRINGTON, DE 19952
"
SMYRNA CITIZEN HOSE,COMMERCE ST,SMYRNA,19977,04/05/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"COMMERCE ST
SMYRNA, DE 19977
"
SMYRNA CITIZEN HOSE,COMMERCE ST,SMYRNA,19977,04/05/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"COMMERCE ST
SMYRNA, DE 19977
"
BOWERS FIRE CO., PO BOX 224,FREDERICA,19946,04/07/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"PO BOX 224
FREDERICA, DE 19946
"
ACME FOOD STORE,MAIN & GLENWOOD AVE,SMYRNA,19977,04/11/2016,Routine,4-502_11 Good Repair and Calibration Pf (b),Violation - Corrected on Site,6-501_111 Controlling Pests Pf ( C),Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,"MAIN &amp; GLENWOOD AVE
SMYRNA, DE 19977
"
"CAMDEN-WYOMING LITTLE LEAGUE, INC. SNACK BAR-CONCESSION",WILLOW GROVE RD.,WYOMING,19934,04/13/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"WILLOW GROVE RD.
WYOMING, DE 19934
"
FELTON LITTLE LEAGUE,PO BOX 132,FELTON,19943,04/15/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"PO BOX 132
FELTON, DE 19943
"
CHICK-FIL-A CAMDEN TOWN CENTER MOBILE,4044 SOUTH DUPONT HIGHWAY,CAMDEN,19934,04/19/2016,Pre-Operational,,,,,,,,,,,,,,,,,,,,,,,,,,,"4044 SOUTH DUPONT HIGHWAY
CAMDEN, DE 19934
"
CHESWOLD VFC,PO BOX 75,CHESWOLD,19936,04/19/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"PO BOX 75
CHESWOLD, DE 19936
"
DOVER AFB MIDDLE SCHOOL,HAWTHRONE DR,DOVER,19901,04/25/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"HAWTHRONE DR
DOVER, DE 19901
"
SMYRNA-CLAYTON LITTLE LASS,PO BOX 55,SMYRNA,19977,04/29/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"PO BOX 55
SMYRNA, DE 19977
"
LAKE FOREST E ELEM SCHOOL,124 W FRONT ST,FREDERICA,19946,05/02/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"124 W FRONT ST
FREDERICA, DE 19946
"
MILFORD SR H S,1910 N WALNUT ST,MILFORD,19963,05/02/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"1910 N WALNUT ST
MILFORD, DE 19963
"
LAKE FOREST CENT ELEM SCH,KILLENS POND RD,FELTON,19943,05/04/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"KILLENS POND RD
FELTON, DE 19943
"
APPLEBEE'S NEGBRHD BAR & GRILL,4110 S DUPONT HWY,CAMDEN,19934,05/04/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"4110 S DUPONT HWY
CAMDEN, DE 19934
"
WT CHIPMAN JR HIGH,CENTER & DORMAN STREETS,HARRINGTON,19952,05/04/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"CENTER &amp; DORMAN STREETS
HARRINGTON, DE 19952
"
WAWA FOOD MARKET #848,RTE. 13 & RUSTIC LANE,DOVER,19901,05/09/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"RTE. 13 &amp; RUSTIC LANE
DOVER, DE 19901
"
BENJAMIN BANNEKER ELEM  SCHOOL,CHURCH & NORTH STS.,MILFORD,19963,05/10/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"CHURCH &amp; NORTH STS.
MILFORD, DE 19963
"
HARTLY ELEM SCHOOL,"PO BOX 25, 2617 ARTHURSVILLE RD.",HARTLY,19953,05/12/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"PO BOX 25, 2617 ARTHURSVILLE RD.
HARTLY, DE 19953
"
BAYHEALTH/MILFORD MEM ATTN ARAMARK,21 W. CLARK ST.,MILFORD,19963,05/13/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"21 W. CLARK ST.
MILFORD, DE 19963
"
CLAYTON ELEM SCHOOL,MAIN ST,CLAYTON,19938,05/18/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"MAIN ST
CLAYTON, DE 19938
"
CLAYTON INTERMEDIATE SCHOOL,86 SORRENTO DR.,CLAYTON,19938,05/18/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"86 SORRENTO DR.
CLAYTON, DE 19938
"
POLY TECH H S,Walnut Shade Rd.,WOODSIDE,19980,05/20/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"Walnut Shade Rd.
WOODSIDE, DE 19980
"
POLISENO'S PIZZERIA,761 MAIN STREET,CHESWOLD,19936,06/01/2016,Routine,"7-201_11 Storage, Separation P",Violation,"4-501_114 Chem_San_, Temp_/pH/Concentr_/Hard P",Violation,,,,,,,,,,,,,,,,,,,,,,,"761 MAIN STREET
CHESWOLD, DE 19936
"
CALVARY BAPTIST RT. 8,RT 8 W,DOVER,19904,06/02/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"RT 8 W
DOVER, DE 19904
"
DUNKIN DONUTS,4898 N. DUPONT HWY.,CHESWOLD,19936,06/14/2016,Complaint,,,,,,,,,,,,,,,,,,,,,,,,,,,"4898 N. DUPONT HWY.
CHESWOLD, DE 19936
"
DUNKIN DONUTS,4898 N. DUPONT HWY.,CHESWOLD,19936,06/14/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"4898 N. DUPONT HWY.
CHESWOLD, DE 19936
"
POLISENO'S PIZZERIA,761 MAIN STREET,CHESWOLD,19936,06/20/2016,Followup,,,,,,,,,,,,,,,,,,,,,,,,,,,"761 MAIN STREET
CHESWOLD, DE 19936
"
DAIRY SWEET,PO BOX 154,SMYRNA,19977,06/21/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"PO BOX 154
SMYRNA, DE 19977
"
KENTUCKY FRIED CHICKEN TACO BELL,344 WALMART DR.,CAMDEN,19934,06/22/2016,Routine,2-201_11 Responsibility of Person in Charge P,Violation,7-204_11 Sanitizers P,Violation - Corrected on Site,4-703_11 Methods-Hot Water and Chemical P,Violation,"7-201_11 Storage, Separation P",Violation,,,,,,,,,,,,,,,,,,,"344 WALMART DR.
CAMDEN, DE 19934
"
SHORE STOP #234,270 S DUPONT HWY,CAMDEN,19934,06/22/2016,Routine,7-204_11 Sanitizers P,Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,,,"270 S DUPONT HWY
CAMDEN, DE 19934
"
SHORE STOP #231,2636 S STATE ST,CAMDEN,19934,06/27/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"2636 S STATE ST
CAMDEN, DE 19934
"
DEL TECH  COMM COLLEGE CULINARY ARTS KITCHEN,100 CAMPUS DRIVE,DOVER,19904,06/28/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"100 CAMPUS DRIVE
DOVER, DE 19904
(39.197517, -75.560817)"
THE CELTIC PUB,699 JIMMY DRIVE,SMYRNA,19977,04/06/2016,Routine,2-201_11 Responsibility of Person in Charge P,Violation,"3-302_13 Pasteurized Eggs, Certain Recipes P",Violation,7-204_11 Sanitizers P,Violation,5-205_15 System Maintained/Repair P (a),Violation,6-501_111 Controlling Pests Pf ( C),Violation,4-703_11 Methods-Hot Water and Chemical P,Violation,,,,,,,,,,,,,,,"699 JIMMY DRIVE
SMYRNA, DE 19977
(39.281253, -75.594399)"
MOMMOM'S ICE CREAM,900 EAST DIVISION STREET,DOVER,19901,05/17/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"900 EAST DIVISION STREET
DOVER, DE 19901
(39.165265, -75.510703)"
BYLERS STORE,1368 ROSE VALLEY RD,DOVER,19904,04/25/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"1368 ROSE VALLEY RD
DOVER, DE 19904
(39.154952, -75.602377)"
CHICK-FIL-A RESTAURANT,1440 N. DUPONT HWY.,DOVER,19901,06/07/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"1440 N. DUPONT HWY.
DOVER, DE 19901
(39.19312, -75.546277)"
Fortunata's Bakery,"602 SE 4th St.
602 S.E. 4th St.","Milford,",19963,03/31/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"602 SE 4th St. 602 S.E. 4th St.
Milford,, DE 19963
(38.917773, -75.431181)"
US 13 GRILL,1115 S. GOVERNORS AVE.,DOVER,19901,02/16/2016,Routine,4-703_11 Methods-Hot Water and Chemical P,Violation,3-501_19 Time as a Public Health Control P Pf,Violation,,,,,,,,,,,,,,,,,,,,,,,"1115 S. GOVERNORS AVE.
DOVER, DE 19901
(39.139441, -75.525948)"
BETWEEN THE BUNZ MOBILE,249 N WILSON AVE.,DOVER,19901,05/17/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"249 N WILSON AVE.
DOVER, DE 19901
(39.195808, -75.547339)"
CHICKEN NOW,1365 N. DUPONT HWY.,DOVER,19901,05/03/2016,Routine,2-201_11 Responsibility of Person in Charge P,Violation,,,,,,,,,,,,,,,,,,,,,,,,,"1365 N. DUPONT HWY.
DOVER, DE 19901
(39.191517, -75.543647)"
DOVER DOWNS-BUFFET KITCHEN,1131 N DUPONT HWY,DOVER,19901,01/29/2016,Followup,,,,,,,,,,,,,,,,,,,,,,,,,,,"1131 N DUPONT HWY
DOVER, DE 19901
(39.186702, -75.536934)"
MARANANTHA FELLOWSHIP,60 DEER TRACK LANE,DOVER,19904,03/15/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"60 DEER TRACK LANE
DOVER, DE 19904
(39.157988, -75.590596)"
HOME 2 SUITES,222 S. DUPONT HWY.,DOVER,19901,01/12/2016,Routine,4-502_11 Good Repair and Calibration Pf (b),Violation,"4-501_111 Warewashing, San_ Water Temp P",Violation,,,,,,,,,,,,,,,,,,,,,,,"222 S. DUPONT HWY.
DOVER, DE 19901
(39.16091, -75.513308)"
PIZZA HUT #2808,779 N DUPONT HWY,DOVER,19901,01/11/2016,Routine,4-703_11 Methods-Hot Water and Chemical P,Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,,,"779 N DUPONT HWY
DOVER, DE 19901
(39.180912, -75.529188)"
DUNKIN DONUTS,470 S. DUPONT HWY.,DOVER,19901,01/05/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"470 S. DUPONT HWY.
DOVER, DE 19901
(39.155593, -75.512909)"
FRAIZER'S,9 EAST LOOCKERMAN ST,DOVER,19901,05/20/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"9 EAST LOOCKERMAN ST
DOVER, DE 19901
(39.159051, -75.520181)"
DAIRY QUEEN,1406 FORREST AVE. #A-1,DOVER,19904,04/05/2016,Followup,,,,,,,,,,,,,,,,,,,,,,,,,,,"1406 FORREST AVE. #A-1
DOVER, DE 19904
(39.159054, -75.556737)"
SIMARON,415 WEST LOCKERMAN ST.,DOVER,19904,05/04/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"415 WEST LOCKERMAN ST.
DOVER, DE 19904
(39.157121, -75.530213)"
JAZZY JAY'S SOUL FOOD CAFÉ LLC,5409 N DUPONT HWY,CHESWOLD,19901,06/30/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"5409 N DUPONT HWY
CHESWOLD, DE 19901
(39.223333, -75.576483)"
DOVER DOWNS FRANKIE'S,1131 N. DUPONT HWY.,DOVER,19904,01/27/2016,Routine,4-703_11 Methods-Hot Water and Chemical P,Violation,,,,,,,,,,,,,,,,,,,,,,,,,"1131 N. DUPONT HWY.
DOVER, DE 19904
(39.186702, -75.536934)"
PIE FIVE PIZZA CO,1211 N DUPONT HWY,DOVER,19901,04/21/2016,Routine,"4-501_114 Chem_San_, Temp_/pH/Concentr_/Hard P",Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,,,"1211 N DUPONT HWY
DOVER, DE 19901
(39.188648, -75.539643)"
CROSSROADS CHRISTIAN CHURCH/FAMILY LIFE CENTER,4867 N. DUPONT HWY.,DOVER,19901,04/01/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"4867 N. DUPONT HWY.
DOVER, DE 19901
(39.216415, -75.573297)"
CHARLTON SCHOOL,278 SORGHUM MILL RD.,CAMDEN-WYOING,19934,05/20/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"278 SORGHUM MILL RD.
CAMDEN-WYOING, DE 19934
(39.103432, -75.511277)"
FIFER ORCHARDS MOBILE,1919 ALLABANDS MILL RD.,WYOMING,19934,03/02/2016,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,"1919 ALLABANDS MILL RD.
WYOMING, DE 19934
(39.11931, -75.572004)"
DOVER DOWNS SLOTS-GARDEN CAFE,1131 N DUPONT HWY,DOVER,19901,01/28/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"1131 N DUPONT HWY
DOVER, DE 19901
(39.186702, -75.536934)"
CHARLEY'S PHILLY STEAKS,"1365 N DUPONT HWY, SPACE 3065",DOVER,19901,05/19/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"1365 N DUPONT HWY, SPACE 3065
DOVER, DE 19901
(39.191517, -75.543647)"
CHIPOTLE MEXICAN GRILL,1141 NORTH DUPONT HWY. SUITE 1,DOVER,19901,01/19/2016,Complaint,,,,,,,,,,,,,,,,,,,,,,,,,,,"1141 NORTH DUPONT HWY. SUITE 1
DOVER, DE 19901
(39.186571, -75.536748)"
SHERIDAN'S IRISH PUB,42-44 WEST COMMERCE ST.,SMYRNA,19977,06/23/2016,Followup,,,,,,,,,,,,,,,,,,,,,,,,,,,"42-44 WEST COMMERCE ST.
SMYRNA, DE 19977
(39.299908, -75.607569)"
LA TONALTECA,245 S. DUPONT HIGHWAY,DOVER,19901,06/02/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"245 S. DUPONT HIGHWAY
DOVER, DE 19901
(39.160052, -75.512356)"
KARIBBEAN GRILL,3114 SOUTH DUPONT HWY.,SMYRNA,19977,06/28/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"3114 SOUTH DUPONT HWY.
SMYRNA, DE 19977
(39.260093, -75.586481)"
WAFFLE HOUSE #1550,37 CORY LANE,SMYRNA,19977,04/29/2016,Complaint,,,,,,,,,,,,,,,,,,,,,,,,,,,"37 CORY LANE
SMYRNA, DE 19977
(39.284566, -75.59293)"
CARMIKE 14,1365 N. DUPONT HWY,DOVER,19901,05/09/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"1365 N. DUPONT HWY
DOVER, DE 19901
(39.191517, -75.543647)"
BUONO PIZZA,825 HALLTOWN RD.,MARYDEL,19964,04/21/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"825 HALLTOWN RD.
MARYDEL, DE 19964
(39.111587, -75.735391)"
SHORE STOP #243,201 S MAIN ST,CAMDEN,19934,06/22/2016,Complaint,4-703_11 Methods-Hot Water and Chemical P,,,,,,,,,,,,,,,,,,,,,,,,,,"201 S MAIN ST
CAMDEN, DE 19934
(39.110317, -75.545559)"
TOP DOG MOBILE,616 N. MAIN STREET,SMYRNA,19977,04/11/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"616 N. MAIN STREET
SMYRNA, DE 19977
(39.306856, -75.619608)"
HOME 2 SUITES,222 S. DUPONT HWY.,DOVER,19901,01/21/2016,Followup,,,,,,,,,,,,,,,,,,,,,,,,,,,"222 S. DUPONT HWY.
DOVER, DE 19901
(39.16091, -75.513308)"
DOVER DOWNS GR8 BURGERS AND SHAKES,1131 NORTH DUPUNT HWY,DOVER,19901,01/26/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"1131 NORTH DUPUNT HWY
DOVER, DE 19901
(39.186702, -75.536934)"
FLAVOR OF INDIA,348 N. DUPONT HWY.,DOVER,19901,06/09/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"348 N. DUPONT HWY.
DOVER, DE 19901
(39.171468, -75.519675)"
CHINA WOK,941 NORTH DUPONT BLVD  STE H,MILFORD,19963,04/04/2016,Complaint,,,,,,,,,,,,,,,,,,,,,,,,,,,"941 NORTH DUPONT BLVD STE H
MILFORD, DE 19963
(38.929868, -75.431592)"
LAKE FOREST CONC STAND,5407 KILLENS POND RD,FELTON,19943,05/04/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"5407 KILLENS POND RD
FELTON, DE 19943
(38.989334, -75.551903)"
CAESAR RODNEY HIGH SCHOOL,239 OLD NORTH RD,CAMDEN WYOMING,19934,05/19/2016,Routine,4-703_11 Methods-Hot Water and Chemical P,Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,,,"239 OLD NORTH RD
CAMDEN WYOMING, DE 19934
(39.117836, -75.542046)"
KENTUCKY FRIED CHICKEN TACO BELL,134 N. DUPONT HWY.,SMYRNA,19977,03/16/2016,Routine,2-201_11 Responsibility of Person in Charge P,Violation,7-204_11 Sanitizers P,Violation,"4-501_114 Chem_San_, Temp_/pH/Concentr_/Hard P",Violation,,,,,,,,,,,,,,,,,,,,,"134 N. DUPONT HWY.
SMYRNA, DE 19977
(39.3045, -75.605344)"
POPEYES,697 N. DUPONT HWY.,MILFORD,19962,05/17/2016,Routine,2-201_11 Responsibility of Person in Charge P,Violation,,,,,,,,,,,,,,,,,,,,,,,,,"697 N. DUPONT HWY.
MILFORD, DE 19962
(38.920802, -75.438584)"
ROYAL FARMS,293 SOUTH SAULSBURY ROAD,DOVER,19904,06/07/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"293 SOUTH SAULSBURY ROAD
DOVER, DE 19904
(39.154104, -75.541863)"
DELAWARE HOSPICE CENTER,100 PATRIOTS WAY,MILFORD,19966,06/08/2016,Routine,3-501_19 Time as a Public Health Control P Pf,Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,,,"100 PATRIOTS WAY
MILFORD, DE 19966
(38.935134, -75.452669)"
WHERE PIGS FLY,617 E LOOCKERMAN ST,DOVER,19901,05/04/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"617 E LOOCKERMAN ST
DOVER, DE 19901
(39.161889, -75.512864)"
JOHN BASSETT MOORE INTERMEDIATE SCHOOL,20 WEST FRAZIER ST,SMYRNA,19977,05/26/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"20 WEST FRAZIER ST
SMYRNA, DE 19977
(39.297972, -75.604694)"
MCDONALD'S,879 N. DUPONT HWY.,DOVER,19901,05/18/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"879 N. DUPONT HWY.
DOVER, DE 19901
(39.18258, -75.531209)"
BURGER KING,211 S. DUPONT HWY.,DOVER,19901,02/16/2016,Routine,7-204_11 Sanitizers P,Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,,,"211 S. DUPONT HWY.
DOVER, DE 19901
(39.161153, -75.513245)"
USS DELAWARE,319 S REHOBOTH BLVD,MILFORD,19963,06/10/2016,Followup,,,,,,,,,,,,,,,,,,,,,,,,,,,"319 S REHOBOTH BLVD
MILFORD, DE 19963
(38.913854, -75.415505)"
PARK PLACE REST,5 N WASHINGTON ST,MILFORD,19963,04/28/2016,Routine,3-304_11 Food Contact with Soiled Items P,Violation,,,,,,,,,,,,,,,,,,,,,,,,,"5 N WASHINGTON ST
MILFORD, DE 19963
(38.9136, -75.427193)"
WINGS TO GO,23 S. DUPONT HWY.,DOVER,19901,05/17/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"23 S. DUPONT HWY.
DOVER, DE 19901
(39.163023, -75.514807)"
DOVER DOWNS-DRIVERS LOUNGE,1131 N DUPONT HWY,DOVER,19901,01/26/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"1131 N DUPONT HWY
DOVER, DE 19901
(39.186702, -75.536934)"
APPLEBEE'S,909 NORTH DUPONT HWY,DOVER,19901,06/09/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"909 NORTH DUPONT HWY
DOVER, DE 19901
(39.183312, -75.532211)"
BETSY ROSS PIZZA,4 LIBERTY PLAZA,HARRINGTON,19952,02/09/2016,Complaint,,,,,,,,,,,,,,,,,,,,,,,,,,,"4 LIBERTY PLAZA
HARRINGTON, DE 19952
(38.926171, -75.577608)"
PAPA JOHN'S PIZZA #1325,1234 N. DUPONT HWY.,DOVER,19901,04/29/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"1234 N. DUPONT HWY.
DOVER, DE 19901
(39.183918, -75.533418)"
Hollywood Diner,123 N. DuPont Hwy.,Dover,19901,06/30/2016,Routine,3-501_19 Time as a Public Health Control P Pf,Violation - Corrected on Site,6-501_111 Controlling Pests Pf ( C),Violation - Corrected on Site,5-205_15 System Maintained/Repair P (a),Violation - Corrected on Site,4-703_11 Methods-Hot Water and Chemical P,Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,"123 N. DuPont Hwy.
Dover, DE 19901
(39.166827, -75.516687)"
THE GREEN TURTLE,391 N. DUPONT HWY.,DOVER,19901,05/17/2016,Followup,,,,,,,,,,,,,,,,,,,,,,,,,,,"391 N. DUPONT HWY.
DOVER, DE 19901
(39.172467, -75.520433)"
JAVA CITY - WESLEY COLLEGE,120 N. STATE ST.,DOVER,19901,05/03/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"120 N. STATE ST.
DOVER, DE 19901
(39.163689, -75.526539)"
MARYDEL HARTLY LITTLE LEAGUE,643 TARAILA ROAD,MARYDEL,19964,04/21/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"643 TARAILA ROAD
MARYDEL, DE 19964
(39.123935, -75.74427)"
DSU CONRAD HALL,1200 N. DUPONT HWY.,DOVER,19901,03/24/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"1200 N. DUPONT HWY.
DOVER, DE 19901
(39.185359, -75.535431)"
CAPRIOTTI'S OF MILFORD,684 NORTH DUPONT HWY.,MILFORD,19963,03/30/2016,Followup,,,,,,,,,,,,,,,,,,,,,,,,,,,"684 NORTH DUPONT HWY.
MILFORD, DE 19963
(38.918881, -75.439891)"
HARTLY FAMILY LEARNING CENTER,21 NORTH STREET,HARTLY,19953,05/23/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"21 NORTH STREET
HARTLY, DE 19953
(39.166771, -75.708537)"
GARRISON'S LAKE GOLF CLUB MOBILE,101 W. FAIRWAYS CIRCLE,SMYRNA,19977,04/20/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"101 W. FAIRWAYS CIRCLE
SMYRNA, DE 19977
(39.253964, -75.591112)"
